x_goal,y_goal,count,torque_M1,torque_M2,torque_M3,vel_M1,vel_M2,vel_M3,pos_x,pos_y,vel_x,vel_y,phi,phi_dot,alpha,beta,theta,alpha_dot,beta_dot
1764288340.0037086,0.010378360748291016,0.8,0.8,0,-0.32,-0.31,-0.3,5.79,-7.25,1.32,0.24,0.24,0.25,0.29,0.0032724923474889422,0.0,0.2197711163159628,0.33543901607614846,-0.47681609366909683,-0.26497485192722436
1764288340.013709,0.010000228881835938,0.8,0.8,0,-0.32,-0.31,-0.3,5.51,-7.11,1.67,0.24,0.24,0.25,0.27,0.004363323129985552,0.10908307824966101,0.21777023313754817,0.3353121872936953,-0.20008831784146253,-0.012682878245318108
1764288340.03371,0.010000228881835938,0.8,0.8,0,-0.31,-0.31,-0.3,5.23,-8.02,1.95,0.25,0.24,0.29,0.28,0.004363323129985552,0.0,0.2146679311779871,0.3373940315167596,-0.12963289570091518,0.16269175834739968
1764288340.0437105,0.010000228881835938,0.8,0.8,0,-0.31,-0.32,-0.29,5.23,-7.81,2.09,0.25,0.25,0.29,0.27,0.0032724923474889422,-0.10908307824966101,0.2135103055878469,0.34204663565671645,-0.115762559014021,0.46526041399568285
1764288340.0637114,0.010000228881835938,0.8,0.8,0,-0.31,-0.31,-0.29,5.86,-7.67,2.51,0.25,0.25,0.29,0.28,0.002181661564992332,0.0,0.21188325166017963,0.3574611079267225,-0.07507173541907441,0.8350706952973574
1764288340.0837123,0.010000228881835938,0.8,0.8,0,-0.31,-0.31,-0.29,6.35,-7.53,2.44,0.25,0.25,0.29,0.3,0.002181661564992332,0.0,0.21120598624443065,0.38367171940728895,-0.027144566940240367,1.5496434911884016
1764288340.0937128,0.010000228881835938,0.8,0.8,0,-0.32,-0.31,-0.3,6.14,-7.46,2.23,0.26,0.26,0.28,0.29,0.002181661564992332,0.0,0.21135877342319676,0.40379069657426836,0.01527871787661006,2.0118977166979413
1764288340.1137137,0.010000228881835938,0.8,0.8,0,-0.32,-0.31,-0.33,5.44,-8.09,2.09,0.26,0.26,0.29,0.28,0.0010908307824966101,-0.1090830782495722,0.21345875062874065,0.4715822399036895,0.1584479658939486,4.086397108543238
1764288340.1237142,0.010000228881835938,0.8,0.8,0,-0.33,-0.33,-0.34,5.02,-7.74,2.09,0.26,0.26,0.28,0.26,0.0010908307824966101,0.0,0.2169043533081605,0.5298044430674063,0.3445602679419846,5.8222203163716735
1764288340.1437151,0.010000228881835938,0.8,0.8,0,-0.33,-0.33,-0.36,5.16,-7.11,2.09,0.27,0.26,0.27,0.26,0.0,0.0,0.21515814302598368,0.59952717825312,-0.32593114514209987,2.043696352180824
1764288340.1537156,0.010000228881835938,0.8,0.8,0,-0.33,-0.33,-0.35,5.44,-6.83,2.16,0.27,0.27,0.26,0.26,-0.0010908307824966101,-0.10908307824966101,0.2102950455596173,0.617918358336051,-0.4863097466366373,1.8391180082931058
1764288340.1737165,0.010000228881835938,0.8,0.8,0,-0.35,-0.36,-0.41,5.51,-7.39,2.02,0.27,0.27,0.27,0.27,-0.0010908307824966101,0.0,0.1999053837897975,0.68413676652282,-0.5881240721166581,3.327363178997622
1764288340.1842794,0.01056218147277832,0.8,0.8,0,-0.35,-0.36,-0.41,5.3,-7.25,1.74,0.27,0.27,0.27,0.27,-0.0010908307824966101,0.0,0.19144831386944627,0.7114027467456268,-0.8457069920351223,2.7265980222806796
1764288340.2042804,0.010000228881835938,0.8,0.8,0,-0.35,-0.36,-0.4,5.3,-7.6,1.74,0.28,0.28,0.27,0.28,-0.0010908307824966101,0.0,0.16676969254212448,0.7491832156281397,-1.4248306253945575,1.2252858108795728
1764288340.2142808,0.010000228881835938,0.8,0.8,0,-0.35,-0.36,-0.4,4.67,-6.41,1.05,0.28,0.28,0.27,0.28,0.0,0.10908307824966101,0.15107770247048125,0.7599657238167552,-1.5691990071643236,1.078250818861548
1764288340.2342818,0.010000228881835938,0.8,0.8,0,-0.37,-0.37,-0.39,4.88,-6.83,0.91,0.28,0.28,0.22,0.26,0.0010908307824966101,0.10908307824966101,0.11869328278178237,0.7876513483947196,-1.6644913974810827,1.3690103084250005
1764288340.2553267,0.011043548583984375,0.8,0.8,0,-0.51,-0.38,-0.4,4.81,-7.39,0.91,0.29,0.28,0.24,0.27,0.004363323129985552,0.21816615649932203,0.08531639634801502,0.8273071984671532,-1.6638291196592991,2.3063787950505343
1764288340.2658498,0.010521411895751953,0.8,0.8,0,-0.49,-0.39,-0.41,5.51,-7.95,0.98,0.29,0.29,0.26,0.3,0.004363323129985552,0.0,0.06857257232518332,0.8558910286923505,-1.67438240228317,2.858383022519728
1764288340.287457,0.010000228881835938,0.8,0.8,0,-0.47,-0.4,-0.41,3.9,-4.88,1.19,0.29,0.29,0.24,0.29,0.006544984694978773,0.10908307824966101,0.03252637654717194,0.9096935912747002,-1.8460138340754106,2.550138183846684
1764288340.3074582,0.010000228881835938,0.8,0.8,0,-0.47,-0.4,-0.42,5.51,-6.97,1.53,0.3,0.3,0.25,0.27,0.007635815477475383,0.10908307824966101,-0.006812332512627695,0.950087959408112,-1.9971112393565082,1.8518416827016715
1764288340.327459,0.010000228881835938,0.8,0.8,0,-0.43,-0.38,-0.4,5.3,-7.46,2.16,0.3,0.3,0.28,0.26,0.007635815477475383,0.0,-0.049684698863195376,0.9750235439515338,-2.1838256424076885,0.9815910353519364
1764288340.3374598,0.010000467300415039,0.8,0.8,0,-0.43,-0.39,-0.39,5.09,-7.81,2.3,0.3,0.3,0.29,0.26,0.008726646259971105,0.1090830782495722,-0.07142596715355021,0.9821580793692215,-2.174126829035483,0.7134535417687715
1764288340.3590045,0.011538028717041016,0.8,0.8,0,-0.42,-0.38,-0.37,4.81,-7.25,2.09,0.31,0.3,0.27,0.25,0.008726646259971105,0.0,-0.11852099503095737,1.0070122690095626,-2.4400954881312664,1.585816914603999
1764288340.369005,0.010000228881835938,0.8,0.8,0,-0.4,-0.36,-0.37,5.65,-7.11,2.23,0.31,0.31,0.27,0.27,0.008726646259971105,0.0,-0.14708299749258646,1.033375435122383,-2.85620024616291,2.63631661128203
1764288340.3790054,0.010000228881835938,0.8,0.8,0,-0.4,-0.36,-0.37,5.65,-7.11,2.23,0.31,0.31,0.27,0.27,0.008726646259971105,0.0,-0.17974310417680162,1.0639608655825752,-3.266010668421515,3.058543046019224
1764288340.3990064,0.010000228881835938,0.8,0.8,0,-0.34,-0.33,-0.34,5.65,-4.04,1.32,0.31,0.31,0.15,0.23,0.008726646259971105,0.0,-0.25242985364892956,1.1172421406988144,-3.7406325427892018,2.503527421806151
1764288340.4190073,0.010000228881835938,0.8,0.8,0,-0.32,-0.31,-0.31,5.72,-7.74,2.16,0.32,0.32,0.29,0.28,0.007635815477475383,-0.1090830782495722,-0.3198319150271427,1.1453614238251308,-2.997472273138957,0.8164389394741178
1764288340.4290078,0.010000228881835938,0.8,0.8,0,-0.31,-0.31,-0.3,5.09,-7.74,2.02,0.32,0.32,0.28,0.27,0.007635815477475383,0.0,-0.34778357906668145,1.1512690017002312,-2.795166403953875,0.5907577875100323
1764288340.4507983,0.011784553527832031,0.8,0.8,0,-0.32,-0.31,-0.3,4.81,-6.97,2.09,0.32,0.32,0.26,0.24,0.007635815477475383,0.0,-0.41228051673992816,1.1728965499102593,-3.404369064218793,1.2163921944565281
1764288340.4607987,0.010000228881835938,0.8,0.8,0,-0.31,-0.3,-0.29,4.81,-6.35,1.95,0.33,0.32,0.24,0.23,0.007635815477475383,0.0,-0.4512008502106637,1.1883001618998463,-3.8920333470735535,1.5403611989587063
1764288340.4808042,0.01000356674194336,0.8,0.8,0,-0.29,-0.29,-0.28,5.44,-6.83,1.88,0.33,0.33,0.25,0.26,0.007635815477475383,0.0,-0.5160044105833363,1.2094701313573148,-2.643492437293382,0.7062895750199694
1764288340.4908047,0.010000228881835938,0.8,0.8,0,-0.29,-0.28,-0.27,5.44,-7.53,1.95,0.33,0.33,0.27,0.27,0.007635815477475383,0.0,-0.5244963810059438,1.207666148754285,-0.8491970422607409,-0.180398260302983
1764288340.5108058,0.010000467300415039,0.8,0.8,0,-0.26,-0.27,-0.26,5.23,-7.32,2.02,0.33,0.33,0.27,0.26,0.008726646259971105,0.0,-0.5278094597813112,1.1997574728645768,-0.2688802890339126,-0.2817407473798106
1764288340.5221522,0.01134347915649414,0.8,0.8,0,-0.27,-0.28,-0.26,5.02,-6.76,2.02,0.34,0.34,0.25,0.25,0.008726646259971105,0.0,-0.5287888739998028,1.1964698533773115,-0.097941421849157,-0.3287619487265303
1764288340.5421531,0.010000228881835938,0.8,0.8,0,-0.26,-0.28,-0.25,4.6,-6.62,2.16,0.34,0.34,0.25,0.23,0.009817477042467715,0.0,-0.519913581814075,1.1858155765241989,0.0,0.0
1764288340.5521536,0.010000228881835938,0.8,0.8,0,-0.25,-0.27,-0.25,4.53,-6.97,2.16,0.34,0.34,0.26,0.23,0.009817477042467715,0.0,-0.513397860066823,1.1797474727342037,0.6515721747252012,-0.6068103789995227
1764288340.5721545,0.010000228881835938,0.8,0.8,0,-0.25,-0.26,-0.25,4.39,-7.67,2.16,0.35,0.34,0.28,0.24,0.010908307824964325,0.10908307824966101,-0.5053766161643827,1.1708964431808724,0.34029386691689645,-0.4000963233103505
1764288340.582155,0.010000228881835938,0.8,0.8,0,-0.35,-0.27,-0.26,4.32,-7.04,1.88,0.35,0.35,0.26,0.23,0.010908307824964325,0.0,-0.5010905540477468,1.1664476550923766,0.4286062116635847,-0.4448788088495803
1764288340.602156,0.010000228881835938,0.8,0.8,0,-0.34,-0.26,-0.26,4.53,-6.35,1.88,0.35,0.35,0.24,0.23,0.011999138607460935,0.0,-0.4951526432122737,1.1598619083928812,0.18616171656642422,-0.24955504596082534
1764288340.6121564,0.010000228881835938,0.8,0.8,0,-0.31,-0.26,-0.26,5.02,-6.14,1.95,0.35,0.35,0.24,0.23,0.011999138607460935,0.0,-0.4956928512214107,1.1592600368811414,-0.054020800913701095,-0.060187151173973774
1764288340.6321573,0.010000228881835938,0.8,0.8,0,-0.29,-0.25,-0.26,4.81,-5.72,1.74,0.36,0.35,0.22,0.23,0.011999138607460935,0.0,-0.494346897979804,1.158056649013104,0.1402888979457284,-0.08637209812967228
