x_goal,y_goal,count,torque_M1,torque_M2,torque_M3,vel_M1,vel_M2,vel_M3,pos_x,pos_y,vel_x,vel_y,phi,phi_dot,alpha,beta,theta,alpha_dot,beta_dot
1764287233.9899552,0.010000467300415039,1.0,0.0,0,-0.15,-0.1,-0.13,-0.0,-7.18,6.48,0.32,0.0,0.39,0.01,0.014180800172453711,0.0,-0.07206962486194746,-0.42608839604754056,-0.3156687689582327,-0.45215291233784427
1764287234.001381,0.011419534683227539,1.0,0.0,0,-0.13,-0.08,-0.11,0.14,-7.74,6.83,0.33,0.0,0.42,0.02,0.014180800172453711,0.0,-0.0752380675890123,-0.4291976099171144,-0.31684427270648463,-0.3109213869573857
1764287234.022304,0.010922431945800781,1.0,0.0,0,-0.11,-0.08,-0.1,0.07,-7.11,7.11,0.33,0.0,0.41,0.0,0.015271630954950322,0.0,-0.08530814518432228,-0.434953447728204,-0.6731442214252148,-0.39692637375434714
1764287234.0323045,0.010000228881835938,1.0,0.0,0,-0.1,-0.08,-0.1,-0.07,-7.04,6.76,0.34,0.0,0.4,0.0,0.01636246173744693,0.10908307824966101,-0.0887541318538787,-0.43759873547037476,-0.34459866695564223,-0.26452877421707655
1764287234.0536776,0.0108184814453125,1.0,0.0,0,-0.12,-0.07,-0.1,-0.07,-6.76,6.28,0.34,0.0,0.38,0.0,0.017453292519943098,0.1090830782496166,-0.09615276578768306,-0.44735039660325837,-0.3850605933878981,-0.5717597191218449
1764287234.0636826,0.010004520416259766,1.0,0.0,0,-0.11,-0.07,-0.09,-0.0,-7.18,5.86,0.34,0.0,0.38,0.02,0.017453292519943098,0.0,-0.10006999358758994,-0.45356210701659583,-0.3917227799906886,-0.6211710413337457
1764287234.0841935,0.010504722595214844,1.0,0.0,0,-0.09,-0.06,-0.08,-0.0,-6.69,6.21,0.35,0.0,0.37,0.01,0.018544123302439708,0.10908307824966101,-0.10849543661515915,-0.46974973804218934,-0.4418812804027894,-0.9272889156264341
1764287234.0990825,0.014886617660522461,1.0,0.0,0,-0.08,-0.06,-0.07,-0.0,-5.79,7.04,0.35,0.0,0.37,-0.02,0.018544123302439708,0.0,-0.11330017490483524,-0.48228170548101756,-0.48047382896760915,-1.2531967438828229
1764287234.1095068,0.010424137115478516,1.0,0.0,0,-0.08,-0.06,-0.07,0.21,-5.51,7.25,0.35,0.0,0.37,-0.02,0.017453292519943098,-0.10908307824966101,-0.11811012662690734,-0.4968712102585857,-0.48099517220721033,-1.4589504777568152
1764287234.1302457,0.010000228881835938,1.0,0.0,0,-0.07,-0.05,-0.06,0.7,-5.02,6.69,0.36,0.0,0.34,-0.01,0.015271630954950322,-0.10908307824966101,-0.12908766002748973,-0.5349687556879954,-0.5681216222606089,-1.9990766772363333
1764287234.1502476,0.010000228881835938,1.0,0.0,0,-0.01,0.01,0.01,0.56,-5.02,6.69,0.36,0.0,0.34,-0.01,0.011999138607460935,-0.21816615649927762,-0.14132867773385893,-0.5740561726537643,-0.6318564396295301,-1.9504290516856315
1764287234.1613035,0.011055469512939453,1.0,0.0,0,0.03,0.04,0.04,0.28,-4.88,5.65,0.37,0.0,0.3,-0.0,0.011999138607460935,0.0,-0.15813361864661157,-0.637587646511454,-1.6804940912752642,-6.353147385768976
1764287234.1716294,0.01032257080078125,1.0,0.0,0,0.06,0.03,0.07,-0.0,-4.81,4.74,0.37,0.0,0.28,0.0,0.01090830782496477,-0.1090830782496166,-0.15813361864661157,-0.637587646511454,0.0,0.0
1764287234.1916728,0.010000228881835938,1.0,0.0,0,0.08,0.06,0.09,-0.14,-5.16,4.74,0.37,0.0,0.29,0.0,0.01090830782496477,0.0,-0.17894647676958675,-0.7033875265178415,-0.8898732232304862,-1.5867395087394431
1764287234.2016733,0.010000228881835938,1.0,0.0,0,0.1,0.08,0.11,-1.12,-4.67,4.88,0.38,-0.0,0.28,-0.04,0.01090830782496477,0.0,-0.1850154051698003,-0.6977195664454823,-0.6068928400213558,0.5667960072359257
1764287234.2218654,0.010183334350585938,1.0,0.0,0,0.07,0.05,0.08,-1.12,-4.11,4.32,0.38,-0.0,0.24,-0.04,0.011999138607460935,0.1090830782496166,-0.20183293961056759,-0.7067743431649256,-1.02112493560238,-0.5450160168363194
1764287234.2318661,0.010000228881835938,1.0,0.0,0,0.0,-0.02,0.01,-1.05,-3.77,4.46,0.38,-0.0,0.24,-0.05,0.011999138607460935,0.0,-0.20183293961056759,-0.7067743431649256,0.0,0.0
1764287234.251867,0.010000228881835938,1.0,0.0,0,-0.05,-0.07,-0.04,-1.05,-3.49,4.39,0.38,-0.0,0.23,-0.05,0.011999138607460935,0.0,-0.21197870583871126,-0.7340398423374932,-0.5001853216609842,-1.568581031962779
1764287234.2618675,0.010000228881835938,1.0,0.0,0,-0.05,-0.07,-0.04,-1.19,-3.97,4.25,0.38,-0.0,0.23,-0.05,0.011999138607460935,0.0,-0.21579788164722924,-0.7462451006743178,-0.3819175808517983,-1.220525833682462
1764287234.2826726,0.010000228881835938,1.0,0.0,0,-0.15,-0.16,-0.14,0.84,-5.37,3.97,0.39,-0.0,0.27,0.05,0.013089969389957545,0.10908307824966101,-0.22174748994511395,-0.761023880438116,-0.36941854288143894,-0.9340463762315565
1764287234.3026736,0.010000228881835938,1.0,0.0,0,-0.18,-0.19,-0.17,0.98,-5.86,5.23,0.39,-0.0,0.32,0.04,0.013089969389957545,0.0,-0.22408843739387052,-0.7666666042136505,-0.23409474487565696,-0.5642723775534542
1764287234.312674,0.010000228881835938,1.0,0.0,0,-0.2,-0.21,-0.2,0.7,-5.93,5.44,0.4,-0.0,0.33,0.03,0.013089969389957545,0.0,-0.2296161423307117,-0.7790998832270128,-0.5527704936841182,-1.243327901336233
1764287234.332675,0.010000228881835938,1.0,0.0,0,-0.23,-0.24,-0.23,0.7,-5.65,5.72,0.4,-0.0,0.33,0.02,0.013089969389957545,0.0,-0.23633849413076558,-0.7902459227114642,-0.6722351800053872,-1.1146039484451364
1764287234.3426754,0.010000228881835938,1.0,0.0,0,-0.19,-0.21,-0.2,0.28,-5.02,5.37,0.4,-0.0,0.3,0.0,0.013089969389957545,0.0,-0.24003265364754967,-0.7943593054161298,-0.369415951678409,-0.4113382704665547
1764287234.3626766,0.010000228881835938,1.0,0.0,0,-0.16,-0.18,-0.17,0.56,-5.3,5.23,0.41,-0.0,0.3,0.02,0.011999138607460935,-0.10908307824966101,-0.24596207124663394,-0.7929723029178071,-0.5929417599084275,0.1387002498322687
1764287234.3740268,0.011345624923706055,1.0,0.0,0,-0.09,-0.12,-0.11,1.32,-5.72,5.23,0.41,0.0,0.32,0.05,0.011999138607460935,0.0,-0.24865503399129318,-0.7898259869748698,-0.2692962744659244,0.3146315942937239
1764287234.3959079,0.010000228881835938,1.0,0.0,0,-0.03,-0.05,-0.05,1.26,-5.93,5.3,0.41,0.0,0.32,0.05,0.009817477042468159,-0.10908307824966101,-0.25403260942553185,-0.7825613213399141,-0.26577035468129395,0.39175761268412934
1764287234.4059086,0.010000228881835938,1.0,0.0,0,0.01,0.0,-0.0,0.21,-5.72,5.44,0.42,0.0,0.32,0.01,0.009817477042468159,0.0,-0.2566051086009131,-0.7784089831824295,-0.2572499175381271,0.4152338157484614
1764287234.4259095,0.010000228881835938,1.0,0.0,0,0.05,0.05,0.03,-1.12,-5.58,5.58,0.42,0.0,0.32,-0.04,0.007635815477475383,-0.1090830782496166,-0.2627182432802968,-0.7746304258818806,-0.2871803016248897,0.1829965529528632
